Branch,ID,LoanApplicationID,ContractCustomerID,Account,Currency,Amount,Disbursed,ApprovedAmount,OutstandingAmount,DisbursedStat,ValueDate,Installment,Term,Cycle,MaturityDate,LoanProduct,Category,InterestRate,IRR,FreqType,Frequency,DeliqMode,LoanPurpose,ContractVB,Group,SourceOfFund,TotalInterest,AccrInterest,AccrCurrentInt,AccrIntCurrMonth,AccrIntPreMonth,IntIncEarned,AccrIntPerDay,NextAccrDate,Suspend,ContractOfficerID,LoanType,AssetClass,MoreThanOneYear,NextRunDate,Penalty,FirstCollectionDate,Classification,Sector,Industry,Ownership,LoanStatus,ClosedDate,WatchDay,FirstDueDate,MinAssetClass,DoneWatchDay,Vendor,OutstandingAmountAS,RepoStatus,AssetPrice,InstallmentAmount,DueDate
HO,LC23022300004,LA23022000022,CU000918,DD001095,USD,0,2750,2750,0,Y,23/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1811.16,0,0,0,0,1593.115966,0,,N,1021,N,40,Y,28/07/2025,Y,15/03/2023,A,,,,WOF,28/07/2025,0,15/10/2023,0,0,94022,0,,2750,128.8,15
HO,LC23022300005,LA23022100029,CU001282,DD001725,USD,0,2750,2750,0,Y,23/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1716.48,0,0,0,0,1462.11,0,,N,1008,N,0,Y,09/05/2025,Y,15/03/2023,A,,,,TMN,09/05/2025,0,,0,0,94043,0,,2750,125.96,15
HO,LC23022300006,LA23022200008,CU001461,DD001966,USD,0,2750,2750,0,Y,23/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1811.16,0,0,0,0,1393.892524,0,,N,1003,N,40,Y,30/12/2024,Y,15/03/2023,A,,,,WOF,30/12/2024,0,15/10/2023,0,0,94005,0,,2750,128.8,15
HO,LC23022300007,LA23022100010,CU001077,DD001357,USD,0,2750,2750,0,Y,23/02/2023,36,36,1,20/02/2026,102,123210005,18,,1,1,3,3,,,,1059.03,0,0,0,0,672.0861093,0,,N,1014,N,0,Y,16/01/2024,Y,20/03/2023,A,,,,TMN,16/01/2024,0,,0,0,94035,0,RepoForSale,0,0,
HO,LC23022300008,LA23021800010,CU000721,DD000810,USD,0,2750,2750,0,Y,23/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1811.16,0,0,0,0,1758,0,,N,1010,N,0,Y,06/02/2026,Y,15/03/2023,A,,,,TMN,06/02/2026,0,,0,0,94025,0,,2750,128.8,15
HO,LC23022300009,LA23022100022,CU001184,DD001537,USD,0,2750,2750,0,Y,23/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1716.48,0,0,0,0,951.72,0,,N,1001,N,20,Y,27/04/2024,Y,15/03/2023,A,,,,TMN,27/04/2024,0,15/10/2023,0,0,94029,0,RepoForSale,0,0,
HO,LC23022300010,LA23021800001,CU000640,DD000636,USD,0,2400,2400,0,Y,23/02/2023,24,24,1,15/02/2025,102,123210005,18,,1,1,3,3,,,,958.9,0,0,0,0,890.85,0,,N,1015,N,0,Y,15/01/2025,Y,15/03/2023,A,,,,TMN,15/01/2025,0,,0,0,94028,0,,2400,141.71,15
HO,LC23022300013,LA23021600033,CU000469,DD000399,USD,0,2750,2750,0,Y,23/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1716.48,0,0,0,0,1218.31,0,,N,1012,N,40,Y,08/10/2024,Y,15/03/2023,A,,,,TMN,08/10/2024,0,15/09/2023,0,0,94027,0,Repossession,2750,125.96,15
HO,LC23022300014,LA23022100018,CU001149,DD001466,USD,0,2850,2850,0,Y,23/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1877.11,0,0,0,0,1638.83,0,,N,1002,N,20,Y,09/07/2025,Y,15/03/2023,A,,,,TMN,09/07/2025,0,15/04/2024,0,0,94007,0,Repossession,2850,133.48,15
HO,LC23022300015,LA23022300001,CU001517,DD002039,USD,0,2950,2950,0,Y,23/02/2023,36,36,1,15/02/2026,102,123210005,18,,1,1,3,3,,,,1841.26,0,0,0,0,1779.2,0,,N,1006,N,0,Y,11/02/2026,Y,15/03/2023,A,,,,TMN,11/02/2026,0,,0,0,94046,0,,2950,135.12,15
